QueryIndex;R-Precision
0.0;0.08823529411764706
1.0;0.2857142857142857
2.0;0.16279069767441862
3.0;0.0
4.0;0.19083969465648856
5.0;0.25
6.0;0.17857142857142858
7.0;0.09090909090909091
8.0;0.2
9.0;0.08
10.0;0.5
11.0;0.0
12.0;0.16666666666666666
13.0;0.16363636363636364
14.0;0.10576923076923077
15.0;0.22777777777777777
16.0;0.10909090909090909
17.0;0.23809523809523808
18.0;0.045454545454545456
19.0;0.41304347826086957
20.0;0.12
21.0;0.22857142857142856
22.0;0.11428571428571428
23.0;0.03225806451612903
24.0;0.1568627450980392
25.0;0.15151515151515152
26.0;0.09090909090909091
27.0;0.1568627450980392
28.0;0.06818181818181818
29.0;0.058823529411764705
30.0;0.20689655172413793
31.0;0.03333333333333333
32.0;0.45614035087719296
33.0;0.358974358974359
34.0;0.21428571428571427
35.0;0.2222222222222222
36.0;0.40816326530612246
37.0;0.09433962264150944
38.0;0.3148148148148148
39.0;0.21232876712328766
40.0;0.3333333333333333
41.0;0.14893617021276595
42.0;0.3979591836734694
43.0;0.32142857142857145
44.0;0.05
45.0;0.16666666666666666
46.0;0.1
47.0;0.2
48.0;0.2222222222222222
49.0;0.2
50.0;0.2987551867219917
51.0;0.0
52.0;0.2608695652173913
53.0;0.25806451612903225
54.0;0.041666666666666664
55.0;0.125
56.0;0.37254901960784315
57.0;0.3368421052631579
58.0;0.23448275862068965
59.0;0.058823529411764705
60.0;0.24285714285714285
61.0;0.1875
62.0;0.1282051282051282
63.0;0.14
64.0;0.14893617021276595
65.0;0.14285714285714285
66.0;0.14285714285714285
67.0;0.06666666666666667
68.0;0.06666666666666667
69.0;0.058823529411764705
70.0;0.16666666666666666
71.0;0.3076923076923077
72.0;0.16666666666666666
73.0;0.14285714285714285
74.0;0.2857142857142857
75.0;0.11764705882352941
76.0;0.07317073170731707
77.0;0.14285714285714285
78.0;0.11627906976744186
79.0;0.11764705882352941
80.0;0.10714285714285714
81.0;0.0967741935483871
82.0;0.28125
83.0;0.3125
84.0;0.06451612903225806
85.0;0.2127659574468085
86.0;0.10526315789473684
87.0;0.07142857142857142
88.0;0.23529411764705882
89.0;0.4642857142857143
90.0;0.26973684210526316
91.0;0.2125984251968504
92.0;0.09302325581395349
93.0;0.2222222222222222
94.0;0.16666666666666666
95.0;0.18181818181818182
96.0;0.0
97.0;0.2
98.0;0.09090909090909091
